Version Number,1,,,,,,,,,,,,,,,,,
3214,Jedi,South Jordan,"Utah, USA",,,,,,,,,,,,,,,
334,RoboDogs,Harbour Grace,"Newfoundland & Labrador, Canada",,,,,,,,,,,,,,,
22250,Robot Bozz,Billund,Denmark,,,,,,,,,,,,,,,
23150,IBOMBI,PISTOIA,Italy,,,,,,,,,,,,,,,
2096,Royal Robots,Annapolis Royal,"Nova Scotia, Canada",,,,,,,,,,,,,,,
23850,Fast & Curious,Aley,Lebanon,,,,,,,,,,,,,,,
1852,We Are Robo,Wakefield,"Massachusetts, USA",,,,,,,,,,,,,,,
23500,ARBUZIKI,Moscow,Russia,,,,,,,,,,,,,,,
190,Furious Falcons,San Diego,"California, USA",,,,,,,,,,,,,,,
24050,ROBOPRO,HOLON,Israel,,,,,,,,,,,,,,,
22400,DSV Planck,Vi¤a del Mar,Chile,,,,,,,,,,,,,,,
6361,TechnoBots,Franklinville,"New Jersey, USA",,,,,,,,,,,,,,,
5875,The Phonetics,Oakville,"Ontario, Canada",,,,,,,,,,,,,,,
23650,IMC,Kocaeli,Turkey,,,,,,,,,,,,,,,
1758,Remember the Tigers,Hutchinson,"Minnesota, USA",,,,,,,,,,,,,,,
23800,SOTO-TECH,Granada,Spain,,,,,,,,,,,,,,,
4145,Catlin Gabel Team Quantum,Portland,"Oregon, USA",,,,,,,,,,,,,,,
24450,Bears,Mexico City,Mexico,,,,,,,,,,,,,,,
5709,Mindstorm Masterminds,Rockville,"Maryland, USA",,,,,,,,,,,,,,,
4570,Hawkbotics - Gold,Clarksville,"Tennessee, USA",,,,,,,,,,,,,,,
23950,TalentumSAP,Kosice,Slovakia,,,,,,,,,,,,,,,
2211,Radical Robotics,Plattsburgh,"New York, USA",,,,,,,,,,,,,,,
24000,Nyan Cats,Herzelia,Israel,,,,,,,,,,,,,,,
22100,KONDORTECH,La Molina,Peru,,,,,,,,,,,,,,,
5507,Mind Twisters,Saint Charles,"Missouri, USA",,,,,,,,,,,,,,,
24100,Incredible Squirrels,Murcia,Spain,,,,,,,,,,,,,,,
4048,Rhinososauruses,Sandia Park,"New Mexico, USA",,,,,,,,,,,,,,,
168,Geared UP!,Ashburn ,"Virginia, USA",,,,,,,,,,,,,,,
23750,Mechatronic Ants,Pamplona,Spain,,,,,,,,,,,,,,,
23350,Wizard of Code,The Hague,Netherlands,,,,,,,,,,,,,,,
